frame_id,source_index,source_label,total_people,queue_pairs,queue_detected,roi_Check-in,roi_Immigration,roi_Security Lane
193,0,File: 2025-11-27 18-27-45.mp4,21,13,True,0,0,11
194,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,10
195,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,10
196,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,10
197,0,File: 2025-11-27 18-27-45.mp4,19,12,True,0,0,10
198,0,File: 2025-11-27 18-27-45.mp4,19,11,True,0,0,10
199,0,File: 2025-11-27 18-27-45.mp4,18,7,True,0,0,9
200,0,File: 2025-11-27 18-27-45.mp4,18,7,True,0,0,9
201,0,File: 2025-11-27 18-27-45.mp4,19,7,True,0,0,10
202,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,10
203,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,10
204,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,10
205,0,File: 2025-11-27 18-27-45.mp4,20,7,True,0,0,11
206,0,File: 2025-11-27 18-27-45.mp4,20,7,True,0,0,11
207,0,File: 2025-11-27 18-27-45.mp4,20,8,True,0,0,11
208,0,File: 2025-11-27 18-27-45.mp4,19,7,True,0,0,10
209,0,File: 2025-11-27 18-27-45.mp4,19,7,True,0,0,10
210,0,File: 2025-11-27 18-27-45.mp4,18,9,True,0,0,10
211,0,File: 2025-11-27 18-27-45.mp4,18,8,True,0,0,10
212,0,File: 2025-11-27 18-27-45.mp4,18,8,True,0,0,10
213,0,File: 2025-11-27 18-27-45.mp4,17,5,True,0,0,9
214,0,File: 2025-11-27 18-27-45.mp4,17,5,True,0,0,9
215,0,File: 2025-11-27 18-27-45.mp4,15,3,False,0,0,7
216,0,File: 2025-11-27 18-27-45.mp4,17,10,True,0,0,9
217,0,File: 2025-11-27 18-27-45.mp4,17,10,True,0,0,9
218,0,File: 2025-11-27 18-27-45.mp4,18,11,True,0,0,10
219,0,File: 2025-11-27 18-27-45.mp4,19,11,True,0,0,10
220,0,File: 2025-11-27 18-27-45.mp4,20,15,True,0,0,11
221,0,File: 2025-11-27 18-27-45.mp4,19,11,True,0,0,10
222,0,File: 2025-11-27 18-27-45.mp4,20,12,True,0,0,11
223,0,File: 2025-11-27 18-27-45.mp4,21,13,True,0,0,12
224,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,11
225,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,11
226,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,11
227,0,File: 2025-11-27 18-27-45.mp4,19,7,True,0,0,10
228,0,File: 2025-11-27 18-27-45.mp4,20,10,True,0,0,12
229,0,File: 2025-11-27 18-27-45.mp4,19,8,True,0,0,11
230,0,File: 2025-11-27 18-27-45.mp4,19,8,True,0,0,11
231,0,File: 2025-11-27 18-27-45.mp4,19,8,True,0,0,11
232,0,File: 2025-11-27 18-27-45.mp4,19,8,True,0,0,11
233,0,File: 2025-11-27 18-27-45.mp4,19,8,True,0,0,11
234,0,File: 2025-11-27 18-27-45.mp4,20,12,True,0,0,12
235,0,File: 2025-11-27 18-27-45.mp4,20,12,True,0,0,12
236,0,File: 2025-11-27 18-27-45.mp4,20,11,True,0,0,12
237,0,File: 2025-11-27 18-27-45.mp4,20,9,True,0,0,12
238,0,File: 2025-11-27 18-27-45.mp4,19,7,True,0,0,11
239,0,File: 2025-11-27 18-27-45.mp4,19,7,True,0,0,11
240,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,10
241,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,10
242,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,10
243,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,10
244,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,10
245,0,File: 2025-11-27 18-27-45.mp4,19,5,True,0,0,10
246,0,File: 2025-11-27 18-27-45.mp4,20,6,True,0,0,10
247,0,File: 2025-11-27 18-27-45.mp4,19,6,True,0,0,10
248,0,File: 2025-11-27 18-27-45.mp4,19,5,True,0,0,10
249,0,File: 2025-11-27 18-27-45.mp4,19,5,True,0,0,10
250,0,File: 2025-11-27 18-27-45.mp4,20,7,True,0,0,10
251,0,File: 2025-11-27 18-27-45.mp4,20,7,True,0,0,10
252,0,File: 2025-11-27 18-27-45.mp4,20,7,True,0,0,10
253,0,File: 2025-11-27 18-27-45.mp4,20,7,True,0,0,10
254,0,File: 2025-11-27 18-27-45.mp4,22,9,True,0,0,11
255,0,File: 2025-11-27 18-27-45.mp4,23,12,True,0,0,12
256,0,File: 2025-11-27 18-27-45.mp4,24,14,True,0,0,13
257,0,File: 2025-11-27 18-27-45.mp4,24,14,True,0,0,13
258,0,File: 2025-11-27 18-27-45.mp4,24,14,True,0,0,13
259,0,File: 2025-11-27 18-27-45.mp4,25,16,True,0,0,13
260,0,File: 2025-11-27 18-27-45.mp4,26,18,True,0,0,14
261,0,File: 2025-11-27 18-27-45.mp4,26,18,True,0,0,14
262,0,File: 2025-11-27 18-27-45.mp4,25,16,True,0,0,13
263,0,File: 2025-11-27 18-27-45.mp4,25,16,True,0,0,13
264,0,File: 2025-11-27 18-27-45.mp4,25,16,True,0,0,13
265,0,File: 2025-11-27 18-27-45.mp4,24,16,True,0,0,12
266,0,File: 2025-11-27 18-27-45.mp4,24,16,True,0,0,12
267,0,File: 2025-11-27 18-27-45.mp4,24,16,True,0,0,12
268,0,File: 2025-11-27 18-27-45.mp4,24,16,True,0,0,12
269,0,File: 2025-11-27 18-27-45.mp4,24,16,True,0,0,12
270,0,File: 2025-11-27 18-27-45.mp4,24,16,True,0,0,13
271,0,File: 2025-11-27 18-27-45.mp4,24,16,True,0,0,13
272,0,File: 2025-11-27 18-27-45.mp4,23,14,True,0,0,12
273,0,File: 2025-11-27 18-27-45.mp4,24,16,True,0,0,14
274,0,File: 2025-11-27 18-27-45.mp4,26,20,True,0,0,14
275,0,File: 2025-11-27 18-27-45.mp4,26,19,True,0,0,14
276,0,File: 2025-11-27 18-27-45.mp4,23,13,True,0,0,12
277,0,File: 2025-11-27 18-27-45.mp4,24,15,True,0,0,13
278,0,File: 2025-11-27 18-27-45.mp4,22,13,True,0,0,11
279,0,File: 2025-11-27 18-27-45.mp4,22,16,True,0,0,10
280,0,File: 2025-11-27 18-27-45.mp4,22,17,True,0,0,10
281,0,File: 2025-11-27 18-27-45.mp4,21,12,True,0,0,10
282,0,File: 2025-11-27 18-27-45.mp4,22,17,True,0,0,10
283,0,File: 2025-11-27 18-27-45.mp4,22,18,True,0,0,10
284,0,File: 2025-11-27 18-27-45.mp4,22,13,True,0,0,10
285,0,File: 2025-11-27 18-27-45.mp4,22,12,True,0,0,11
286,0,File: 2025-11-27 18-27-45.mp4,21,10,True,0,0,11
287,0,File: 2025-11-27 18-27-45.mp4,20,9,True,0,0,10
288,0,File: 2025-11-27 18-27-45.mp4,21,10,True,0,0,11
289,0,File: 2025-11-27 18-27-45.mp4,0,0,False,0,0,0
290,0,File: 2025-11-27 18-27-45.mp4,11,2,False,2,2,1
291,0,File: 2025-11-27 18-27-45.mp4,13,4,False,2,3,2
292,0,File: 2025-11-27 18-27-45.mp4,16,5,True,2,3,5
293,0,File: 2025-11-27 18-27-45.mp4,17,5,True,2,3,6
294,0,File: 2025-11-27 18-27-45.mp4,18,5,True,2,3,7
